,TT211.SP,VCH4.OP,ACH4.op,EACH4.OP,TE201ST.OP,B201HZ.OP,B301HZ.OP,FCV401.OP,FV202.OP,T1STMAN.OP,T2STMAN.OP,cv202.OP,cv205.OP,cv204.OP,cv207.OP,FI201A.PV,OIL.PV,OISUML.PV,FI202B.PV,FI202A.PV,TT211.PV,TGB1.PV,TT207.PV,TT206.PV,TT204.PV,TT203.PV,TE202.PV,HFV202.PV,HFV202TOTAL.PV
76,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.759663,90.000000,90.000000,1,0,0,1,101060.098345,269.755665,0.0,22930.069019,78987.114430,907.876135,904.821146,723.156433,115.244864,455.420448,69.284501,51.664418,8381.783999,2154.269265
77,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.734924,90.000000,90.000000,1,0,0,1,101060.116378,269.755633,0.0,22935.831676,79051.176625,907.261348,904.498839,724.937696,115.549406,453.978030,69.087196,51.834665,8318.584206,2177.458176
78,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.709680,90.000000,90.000000,1,0,0,1,101059.682182,269.755472,0.0,22957.265836,79169.942054,906.637652,904.162928,726.701598,115.852516,452.542092,68.890622,52.004580,8269.498900,2200.497927
79,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.683869,90.000000,90.000000,1,0,0,1,101058.800108,269.755204,0.0,22990.264989,79329.406271,906.003309,903.812487,728.449079,116.154470,451.112901,68.694836,52.174172,8233.247097,2223.424255
80,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.657437,90.000000,90.000000,1,0,0,1,101057.478992,269.754847,0.0,23031.740187,79519.063920,905.356771,903.446678,730.180784,116.455460,449.690681,68.499883,52.343441,8208.891326,2246.270263
81,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.630332,90.000000,90.000000,1,0,0,1,101055.732068,269.754418,0.0,23079.366638,79731.034928,904.696646,903.064737,731.897658,116.755624,448.275616,68.305803,52.512389,8195.721616,2269.067102
82,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.602506,90.000000,90.000000,1,0,0,1,101053.576833,269.753927,0.0,23131.393496,79959.409143,904.021670,902.665958,733.599559,117.055054,446.867861,68.112629,52.681013,8193.169639,2291.844389
83,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.573917,90.000000,90.000000,1,0,0,1,101051.034874,269.753387,0.0,23186.501107,80199.754823,903.330694,902.249695,735.286545,117.353812,445.467544,67.920390,52.849310,8200.745477,2314.630448
84,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.544524,90.000000,90.000000,1,0,0,1,101048.131644,269.752806,0.0,23243.693876,80448.749993,902.622671,901.815352,736.958709,117.651940,444.074770,67.729110,53.017276,8217.991403,2337.452420
85,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.514364,90.000000,90.000000,1,0,0,1,101044.896212,269.752457,0.0,23262.585338,80566.374595,901.898872,901.363945,738.616097,117.949465,442.689623,67.538809,53.184914,8230.507058,2360.301335
86,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.483465,90.000000,90.000000,1,0,0,1,101041.360965,269.752301,0.0,23252.581853,80585.145189,901.160304,900.896053,740.271115,118.249921,441.311887,67.349450,53.352244,8241.338847,2383.172003
87,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.451842,90.000000,90.000000,1,0,0,1,101037.561285,269.752306,0.0,23220.744499,80529.452094,900.407546,900.412020,741.921558,118.552720,439.941350,67.160997,53.519291,8252.546427,2406.065355
88,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.419500,90.000000,90.000000,1,0,0,1,101033.535192,269.752445,0.0,23172.373628,80417.590989,899.640879,899.912025,743.565728,118.857415,438.577860,66.973425,53.686087,8265.442522,2428.986291
89,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.386437,90.000000,90.000000,1,0,0,1,101029.322964,269.752695,0.0,23111.447771,80263.287514,898.860381,899.396136,745.202314,119.163669,437.221309,66.786717,53.852668,8280.772792,2451.942034
90,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.352647,90.000000,90.000000,1,0,0,1,101024.966728,269.753037,0.0,23040.953301,80076.840316,898.066005,898.864353,746.830301,119.471230,435.871615,66.600861,54.019069,8298.851509,2474.940881
91,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.318120,90.000000,90.000000,1,0,0,1,101020.510043,269.753454,0.0,22963.132016,79865.978205,897.257642,898.316641,748.448898,119.779910,434.528711,66.415848,54.185326,8319.664622,2497.991247
92,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.282849,90.000000,90.000000,1,0,0,1,101015.997459,269.753934,0.0,22879.667092,79636.503025,896.435160,897.752956,750.057492,120.089573,433.192540,66.231673,54.351474,8342.948785,2521.100941
93,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.246825,90.000000,90.000000,1,0,0,1,101011.474072,269.754466,0.0,22791.822728,79392.771744,895.598444,897.173266,751.655607,120.400124,431.863042,66.048328,54.517545,8368.252623,2544.276616
94,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.209967,90.000000,90.000000,1,0,0,1,101006.985076,269.754774,0.0,22741.154841,79279.959952,894.745259,896.576507,753.242874,120.711496,430.540155,65.865805,54.683563,8409.924079,2567.560664
95,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.172210,90.000000,90.000000,1,0,0,1,101002.575308,269.754896,0.0,22718.143373,79265.044779,893.873806,895.961613,754.807431,121.020075,429.224063,65.684145,54.849533,8463.729898,2590.988899
96,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.133507,90.000000,90.000000,1,0,0,1,100998.288804,269.754863,0.0,22715.641826,79323.270155,892.982895,895.327872,756.351201,121.326465,427.914918,65.503380,55.015451,8526.241149,2614.587403
97,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.093829,90.000000,90.000000,1,0,0,1,100994.168355,269.754702,0.0,22728.286412,79436.081563,892.071813,894.674862,757.875661,121.631134,426.612782,65.323527,55.181305,8594.631220,2638.374251
98,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.053156,90.000000,90.000000,1,0,0,1,100990.255087,269.754433,0.0,22752.052483,79589.574127,891.140237,894.002395,759.382250,121.934451,425.317651,65.144592,55.347079,8666.528259,2662.360815
99,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,42.011483,90.000000,90.000000,1,0,0,1,100986.588047,269.754076,0.0,22783.921436,79773.331043,890.188160,893.310479,760.872001,122.236713,424.029466,64.966567,55.512754,8739.907814,2686.552741
